Common name,Scientific name,Image,Size,Remarks,Tank size,Temperature range,pH range,Water hardness
Guapore corydoras,Corydoras guapore,,4.1 cm (1.6 in),,,,,
Salt and pepper catfish/corydoras,Corydoras habrosus,,3.6 cm (0.98–1.42 in),,,,,
Mosaic corydoras; Reticulated corydoras,Corydoras haraldschultzi,,5.9 cm (2.3 in)[10],,,,,
Dwarf corydoras,Corydoras hastatus,,3.5 cm (1.4 in),,,,,
Julii corydoras,Corydoras julii,,6.4 cm (2.0–2.5 in),,,,,
,Corydoras latus,,5.2 cm (2.0 in),,,22–26 °C,6.0-8.0,
False spotted catfish,Corydoras leucomelas,,4.5 cm (1.8 in),,,,,
Loxozonus cory,Corydoras loxozonus,,4.9 cm (1.9 in),,,21-24 °C,6.0-7.2,
Bluespotted corydoras; Spotted cory,Corydoras melanistius,,5.1 cm (2.0 in),,,22–26 °C,6.0-7.0,
Gold laser cory,Corydoras melanotaenia,,5.8 cm (2.3 in),,,,,
Long nosed arched cory; Long-nosed Skunk Cory,Corydoras narcissus,,6.5 cm (2.6 in),,,23-45 °C,6.0-7.0,
Blue corydoras; Natterer's Cory,Corydoras nattereri,,5.4 cm (2.1 in),,,20-23 °C[11],6.0-7.6[11],
,Corydoras ornatus,,4.9 cm (1.9 in),,,22–26 °C,6.0-7.2,
,Corydoras osteocarus,,4 cm (1.6 in),,,,,
Peppered corydoras; Salt and pepper catfish,Corydoras paleatus,,7.6 cm (2.0–3.0 in),,,,,
Panda corydoras,Corydoras panda,,5.1 cm (1.5–2.0 in),,,,6.0-8.0[12],
Pastaza corydoras,Corydoras pastazensis,,7.1 cm (2.5–2.8 in),,,,,
,Corydoras polystictus,,3.2 cm (1.3 in),,,,,
Pygmy corydoras,Corydoras pygmaeus,,3.3 cm (0.98–1.30 in),"A very peaceful species, that does not make an ideal community fish due to its small adult size. It is easily intimidated by larger tank mates and will not compete well with them for food.[13]",11 gal,22-26 °C,6.4 to 7.4[13],
Rust corydoras,Corydoras rabauti,,5 cm (2 in),,,,,
Mosaic corydoras; Reticulated corydoras,Corydoras reticulatus,,6.1 cm (2.0–2.4 in),,,,,
Banner-tail corydoras; Flagtail corydoras,Corydoras robineae,,4.4 cm (1.7 in),,,,,
Schwartz's catfish,Corydoras schwartzi,,5.1 cm (1.5–2.0 in),,,,,
,Corydoras semiaquilus,,6.0 cm (2.4 in),,,,,
,Corydoras septentrionalis,,4.9 cm (1.9 in),,,,,
,Corydoras simulatus,,4.9 cm (1.9 in),,,,,
False network catfish,Corydoras sodalis,,4.9 cm (1.9 in),,,,,
Sterba's corydoras,Corydoras sterbai,,6.8 cm (2.7 in)[14],,,,,
Sychr's catfish,Corydoras sychri,,4.3 cm (1.7 in),,,,,
Threestripe corydoras; Leopard catfish; False julii cory,Corydoras trilineatus,,6.1 cm (2.4 in)[15],,,,,
,Corydoras undulatus,,4.4 cm (1.7 in),,,,,
Xingu corydoras,Corydoras xinguensis,,5.1 cm (1.5–2.0 in),,,,,
Corydoras nain,Corydoras nanus,,4.5 cm (1.8 in),,,22–26 °C,6.0-8.0,
Flagtail catfish,Dianema urostriatum,,12.5 cm (4.9 in),,,25–28 °C,6.0-8.0,
Spotted hoplo,Megalechis thoracata,,15 cm (5.9 in),,,18–28 °C,6.0-8.0,
,Scleromystax prionotos,,5.3 cm (2.1 in),,,,,
Sailfin corydoras,Scleromystax macropterus,,8.7 cm (3.4 in),,,,6.0 – 8.0,
Banded corydoras,Scleromystax barbatus,,10 cm (3.9 in),,,20-28 °C,6.0-8.0,
Bristlenose pleco; Bushynose pleco,Ancistrus spp.,,,"The bristlenose genus has at least 59 identified species and many others yet to be named.[16] Males and female both have long ""bristles"" on their nose, the males having distinctly longer ones.",,20-27 °C,,
Adonis pleco; Polka dot lyre-tail pleco,Acanthicus adonis,,100 cm (39 in),,,25-30 °C,,
,Ancistomus spp.,,,,,,,
Gold nugget pleco,Baryancistrus spp.,,,,,25-30 °C,,
,Dekeyseria spp.,,,,,,,
,Hemiancistrus spp.,,,,,,,
Zebra pleco,Hypancistrus spp.,,,,,,,
,Hypostomus spp.,,,,,22-30 °C,6.5-7.5[17],
,Lasiancistrus spp.,,,,,,,
,Leporacanthicus spp.,,,,,,,
Panaque,Panaque spp.,,,,,,,
,Panaqolus spp.,,,"The genus includes popular aquarium species such as the Clown Pleco, Panaqolus maccus",20 gal[18][19],23-28 °C,6.8 - 7.6[20],
,Peckoltia spp.,,,,,,,
,Pseudacanthicus spp.,,,,,,,
Pineapple pleco; Orange cheek pleco,Pseudorinelepis genibarbis,,36 cm (14 in),,,,,
Sunshine pleco,Scobinancistrus aureatus,,25 cm (9.8 in),,,,,
Whiptail catfish,Rineloricaria spp.,,,"It is a peaceful fish that is best kept in good sized groups (6+) in a mature tank with plenty of shady hiding spots amongst plants, driftwood, slate caves, and PVC pipes.[21]",,24-28 °C,6.0-7.2[21],
Twig catfish,Farlowella spp.,,,,,,,
,Sturisomatichthys spp.,,,,,,,
,Hypoptopoma spp.,,,,,,,
"Golden dwarf sucker, Golden oto",Otocinclus macrospilus,,3.5 cm (1.4 in),,,,,
Zebra dwarf sucker; Zebra oto,Otocinclus cocama,,4.5 cm (1.8 in),,,,,
Bolt catfish,Aguarunichthys torosus,,35 cm (14 in),,,,,
Gold Zebra catfish,Brachyplatystoma juruense,,60 cm (24 in),,,,,
Zebra shovelnose,Brachyplatystoma tigrinum,,60 cm (24 in),,,,,
Vulture Catfish; Zamurito,Calophysus macropterus,,40 cm (16 in),,,,,
,Leiarius marmoratus,,100 cm (39 in),,,,,
,Leiarius pictus,,60 cm (24 in),,,,,
Redtail catfish,Phractocephalus hemioliopterus,,120 cm (47 in),,2600 Gallons,21–26 °C,6.0–7.5[22],
Spotted pimelodus; Pictus; Pictus catfish,Pimelodus pictus,,30 cm (12 in),,,,,
Sturgeon catfish,Platystomatichthys sturio,,40 cm (16 in),,,,,
Barred sorubim,Pseudoplatystoma fasciatum,,104 cm (41 in),,,,,
Tiger sorubim,Pseudoplatystoma tigrinum,,130 cm (51 in),,,,,
Firewood catfish; (Planiceps) Shovelnose catfish,Sorubimichthys planiceps,,178 cm (70 in),,,,,
Lima shovelnose catfish,Sorubim lima,,40 cm (16 in),,,,,
Brichard's syno,Synodontis brichardi,,15 cm (5.9 in),,,,,
Cuckoo squeaker,Synodontis multipunctatus,,27.5 cm (10.8 in),,,,,
Clown squeaker,Synodontis decorus,,32 cm (13 in),,,,,
Even-spotted squeaker; Dwarf lake syno; False cuckoo syno,Synodontis petricola,,10 cm (3.9 in),,,,,
Featherfin squeaker,Synodontis eupterus,,30 cm (12 in),,,,,
Malawi squeaker,Synodontis njassae,,19 cm (7.5 in),,,,,
Polka dot squeaker; Angel squeaker,Synodontis angelicus,,55 cm (22 in),,,,,
Orangestriped squeaker; Pyjama syno,Synodontis flavitaeniata,,19.5 cm (7.7 in),,,,,
Upside-down catfish,Synodontis nigriventris,,9.6 cm (3.8 in),"Prefers bottom feeding on Tubifex (or similar worms), but its main diet consists of algae.[23] The blotched upside-down catfish is well suited to aquariums because of its small size (typically 9 or 10 cm or less) and peaceful demeanor.[citation needed]",,22–28 °C,6.0 - 7.5[24],
Yellow marbled syno; Vermiculated syno,Synodontis schoutedeni,,17 cm (6.7 in),,,,,
Three-striped African catfish,Pareutropius buffei,,11.5 cm (4.5 in),,,,,
Giraffe catfish,Auchenoglanis occidentalis,,70 cm (28 in),,,,,
Electric catfish,Malapterurus electricus,,122 cm (48 in),,,,,
Eel catfish,Channallabes apus,,33 cm (13 in),,,,,
Black lancer catfish,Bagrichthys macracanthus,,25 cm (9.8 in),,,,,
Harlequin lancer catfish,Bagroides melapterus,,30 cm (12 in),,,,,
Crystal-eyed catfish,Hemibagrus wyckii,,71 cm (28 in),,,,,
Shadow catfish,Hyalobagrus flavus,,4.5 cm (1.8 in),,,,,
,Mystus bimaculatus,,6.5 cm (2.6 in),,,,,
Dwarf bumblebee catfish,Pseudomystus leiacanthus,,6 cm (2.4 in),,,,,
,Pseudeutropius moolenburghae,,10 cm (3.9 in),,,,,
Glass catfish,Kryptopterus vitreolus,,8 cm (3.1 in).,,,,,
Striped glass catfish,Kryptopterus macrocephalus,,10 cm (3.9 in).,,,,,
Goonch,Bagarius lica,,200 cm (79 in),,,,,
Chocolate frogmouth catfish,Chaca bankanensis,,20 cm (7.9 in),,,,,
Asian banjo catfish,Acrochordonichthys rugosus,,11 cm (4.3 in),,,,,
Walking catfish,Clarias batrachus,,50 cm (19.5 in),"The albino form is common in the aquarium trade. This fish can survive out of the water and ""walk"" as long as kept wet, for a very long time.[25]",,,,
Black catfish; Narrowfront tandan,Neosilurus ater,,47 cm (19 in),,,,,
Stinging catfish,Heteropneustes fossilis,,30 cm (12 in),,,,,
Sun catfish,Horabagrus brachysoma,,45 cm (18 in),,,,,
Asian redtail catfish,Hemibagrus wyckioides,,130 cm (51 in),,,,,
Asian upside down catfish,Mystus leucophasis,,30 cm (12 in),,,,,
Asian bumblebee catfish,Pseudomystus siamensis,,15 cm (5.9 in),,,,,
Indawgyi stream catfish,Akysis prashadi,,6 cm (2.4 in),,,,,
Asian stone catfish,Hara jerdoni,,4 cm (1.6 in),,,,,
Iridescent shark,Pangasianodon hypophthalmus,,130 cm (51 in),,,,,
Chao Phraya giant shark; Giant pangasius,Pangasius sanitwongsei,,300 cm (120 in),,,,,
Colombian shark catfish,Ariopsis seemanni,,35 cm (14 in),,,,,
Blue whale catfish,Cetopsis coecutiens,,27 cm (11 in),,,,,
Banjo catfish,Bunocephalus coracoideus,,14 cm (5.5 in),,,,,
Giant raphael catfish,Megalodoras uranoscopus,,60 cm (24 in),,,,,
Ripsaw catfish,Oxydoras niger,,90 cm (35 in),,,,,
Striped raphael catfish,Platydoras armatulus,,43 cm (17 in),,,,,
Spotted raphael catfish,Agamyxis pectinifrons,,15 cm (5.9 in),,,,,
Bottlenose catfish,Ageneiosus inermis,,18.5 cm (7.3 in),,,,,
Gulper catfish,Asterophysus batrachus,,25 cm (9.8 in),,,,,
Midnight catfish,Auchenipterichthys coracoideus,,10 cm (3.9 in),,,,,
Oil catfish,Duringlanis perugiae,,5 cm (2.0 in),,,,,
Jaguar catfish,Liosomadoras oncinus,,17 cm (6.7 in),,,,,
,Tatia intermedia,,12 cm (4.7 in),,,,,
Pygmy driftwood catfish,Trachelyichthys exilis,,8 cm (3.1 in),,,,,
,Trachelyopterus fisheri,,28 cm (11 in),,,,,
Arowana tetra,Gnathocharax steindachneri,,5 cm (2.0 in),,,,,
Black phantom tetra,Hyphessobrycon megalopterus,,3.6 cm (1.4 in)[26],The black phantom tetra enjoy being in groups of 6 or more and a slightly shaded tank. Males may claim small territories and occasionally minor battles may occur. The Phantom tetra goes well with other tetras of similar size. They also prefer floating plants.[27],,,,
Black neon tetra,Hyphessobrycon herbertaxelrodi,,3.2 cm (1.3 in)[28],,,,,
"Black tetra, Skirt tetra",Gymnocorymbus ternetzi,,5 cm (2.0 in),A highly spirited fish that may occasionally chase its own species as well as harass slow moving fish with long fins. This fish is very hardy and can stand a variety of water qualities. Disease is not a big problem with the black tetra. The black tetra is also known as the black skirt tetra. The female black tetra is more robust and larger than the male.[29],,,,
Black morpho tetra,Poecilocharax weitzmani,,4 cm (1.6 in),,,,,
Bleeding heart tetra,Hyphessobrycon erythrostigma,,6.5 cm (2.6 in),"The bleeding heart tetra is distinguished by the small red spot on both sides of the fish. This fish is very prone to diseases, and can grow larger than most tetra species.[30]",,,,
Bloodfin tetra,Aphyocharax anisitsi,,5 cm (2.0 in),,,,,
Blue tetra,Knodus borki,,5 cm (2.0 in),,,,,
Blueberry tetra,Hyphessobrycon wadai,,3.5 cm (1.4 in),,,,,
,Brittanichthys axelrodi,,3 cm (1.2 in),,,,,
Bucktooth tetra,Exodon paradoxus,,5 cm (2.0 in),,,,,
Buenos Aires tetra,Hyphessobrycon anisitsi,,7.5 cm (3.0 in),,,,,
Cardinal tetra,Paracheirodon axelrodi,,5 cm (2.0 in),"Similar to the Neon Tetra, but slightly larger and doesn't prefer to school as much. They need much larger tanks, although their temperament is similar.[31]",,,,
Cave tetra; Blind tetra,Astyanax mexicanus,,12 cm (4.7 in),The cave tetra is the blind cave form of the Mexican tetra. This tetra prefers low to moderate lighting.[32],,,,
Cochu's blue tetra,Boehlkea fredcochui,,6 cm (2.4 in),,,,,
Colombian tetra,Hyphessobrycon columbianus,,6.5 cm (2.6 in),,,,,
Diamond tetra,Moenkhausia pittieri,,6 cm (2.4 in),,,,,
Dawn tetra,Aphyocharax paraguayensis,,3.5 cm (1.4 in),,,,,
Ember tetra,Hyphessobrycon amandae,,2 cm (0.79 in),Ember tetras have been known to live ten years or more. May become stressed by the presence of larger fish.[33],13 gal,24–28 °C (75–82 °F)[34],5.0-7.0 [34],
Emperor tetra,Nematobrycon palmeri,,5 cm (2.0 in),,,,,
Flame tetra,Hyphessobrycon flammeus,,2.5 cm (0.98 in),,,,,
Flame-back Bleeding heart tetra,Hyphessobrycon pyrrhonotus,,4.5 cm (1.8 in),,,,,
Garnet tetra; Pretty tetra,Hemigrammus pulcher,,6.5 cm (2.6 in),,,,,
Glass bloodfin tetra,Prionobrama filigera,,6 cm (2.4 in),,,,,
Glowlight tetra,Hemigrammus erythrozonus,,3.75 cm (1.48 in),,,,,
Golden pristella tetra,Pristella maxillaris,,5 cm (2.0 in),,,,,
Green neon tetra,Paracheirodon simulans,,2.5 cm (0.98 in),"Similar to Neon Tetras and Cardinal Tetras, they are the same to Neon Tetras beside having a green tiny near their top dorsal fin[35]",,,,
Head and tail light tetra,Hemigrammus ocellifer,,4 cm (1.6 in),,,,,
Hummingbird tetra,Trochilocharax ornatus,,2 cm (0.79 in),,,,,
January tetra,Hemigrammus hyanuary,,4 cm (1.6 in),,,,,
Lemon tetra,Hyphessobrycon pulchripinnis,,5 cm (2.0 in),,,,,
Neon tetra,Paracheirodon innesi,,3.75 cm (1.48 in),"Neon tetras must be kept in groups of at least a half-dozen, as they are a shoaling species. With peaceful dispositions, they are also able to be kept with other species of non-aggressive fish.[36]",10 gal,20-26 °C,6.0–7.0[37],
Ornate tetra,Hyphessobrycon bentosi,,4.5 cm (1.8 in),,,,,
Penguin tetra; Blackline penguinfish,Thayeria boehlkei,,6.5 cm (2.6 in),,,,,
Peruvian tetra,Hyphessobrycon peruvianus,,4 cm (1.6 in),,,,,
Rainbow tetra,Nematobrycon lacortei,,4 cm (1.6 in),,,,,
Red and Blue Peru tetra,Hyphessobrycon margitae,,4 cm (1.6 in),,,,,
Red eye tetra; Lamp eye tetra,Moenkhausia sanctaefilomenae,,4 cm (1.6 in),,,,,
Red-line lizard tetra,Iguanodectes geisleri,,5.5 cm (2.2 in),,,,,
Red phantom tetra,Hyphessobrycon sweglesi,,4.5 cm (1.8 in),,,,,
Redflank bloodfin,Aphyocharax rathbuni,,4.5 cm (1.8 in),,,,,
Rosy tetra,Hyphessobrycon rosaceus,,4 cm (1.6 in),,,,,
Royal tetra,Inpaichthys kerri,,3.5 cm (1.4 in),Possesses an adipose fin allowing it to be differentiated from the Emperor tetra [38],,,,
Ruby tetra,Axelrodia riesei,,2 cm (0.79 in),,,,,
Rummy-nose tetra,Hemigrammus rhodostomus,,5 cm (2.0 in),"This common name is used for three different species of schooling fish with similar patterns: Hemigrammus rhodostomus, Hemigrammus bleheri, and Petitella georgiae.",,,,
False rummy-nose tetra,Petitella georgiae,,5 cm (2.0 in),"This common name is used for three different species of schooling fish with similar patterns: Hemigrammus rhodostomus, Hemigrammus bleheri, and Petitella georgiae.",,,,
Splash tetra,Copella arnoldi,,5.5 cm (2.2 in),,,,,
Spotted splashing tetra,Copella meinkeni,,4.5 cm (1.8 in),,,,,
,Pyrrhulina spilota,,7 cm (2.8 in),,,,,
Serpae tetra,Hyphessobrycon serpae,,4.5 cm (1.8 in),,,,,
Silvertip tetra,Hasemania nana,,3 cm (1.2 in),,,,,
,Tucanoichthys tucano,,2 cm (0.79 in),,,,,
X-ray tetra,Pristella maxillaris,,4.5 cm (1.8 in),Also just called the X-ray fish.,,,,
Yellow phantom tetra,Hyphessobrycon roseus,,2 cm (0.79 in),,,,,
African moon tetra,Bathyaethiops caudomaculatus,,8 cm (3.1 in),,,,,
Congo tetra,Phenacogrammus interruptus,,7.5 cm (3.0 in),Peaceful but may scare shy species with its active swimming and large adult size. Recommended for most community tanks however. Do not keep Congo tetras with fin-nipping species as the spectacular fins of the males will be destroyed.[39],30 gal,23-28 °C,6.0-7.5[39],
,Phenacogrammus aurantiacus,,10 cm (3.9 in),,,,,
Jellybean tetra,Ladigesia roloffi,,3 cm (1.2 in),,,,,
Long-fin tetra,Brycinus longipinnis,,12.5 cm (4.9 in),,,,,
Niger tetra,Arnoldichthys spilopterus,,10 cm (3.9 in),,,,,
,Alestopetersius brichardi,,8 cm (3.1 in),,,,,
Yellow-tailed Congo tetra,Alestopetersius caudalis,,6 cm (2.4 in),,,,,
Common hatchetfish,Gasteropelecus sternicla,,4 cm (1.6 in),Requires a varied diet including fruit flies[40][41],,,,
Marbled hatchetfish,Carnegiella strigata,,5 cm (2.0 in),Requires a varied diet including fruit flies[41][40],,,,
Black-winged hatchetfish,Carnegiella marthae,,4 cm (1.6 in),,,,,
Pygmy hatchetfish,Carnegiella myersi,,2.2 cm (0.87 in),,,,,
Golden pencilfish,Nannostomus beckfordi,,6 cm (2.4 in),,,,,
Hockeystick pencilfish,Nannostomus eques,,3.5 cm (1.4 in),,,,,
Barred pencilfish,Nannostomus espei,,3 cm (1.2 in),,,,,
Dwarf pencilfish,Nannostomus marginatus,,2.5 cm (0.98 in),,,,,
Coral-red pencilfish,Nannostomus mortenthaleri,,3 cm (1.2 in),,,,,
,Nannostomus nigrotaeniatus,,3 cm (1.2 in),,,,,
Three-lined pencilfish,Nannostomus trifasciatus,,3 cm (1.2 in),,,,,
One-lined Pencilfish,Nannostomus unifasciatus,,4 cm (1.6 in),,,,,
Silver dollar,Metynnis argenteus,,15 cm (5.9 in),"The name ""silver dollar"" may also refer to Metynnis hypsauchen, Metynnis maculatus, or other related fishes.",,,,
Schreitmuller's metynnis,Metynnis hypsauchen,,14 cm (5.5 in),,,,,
Spotted silver dollar,Metynnis lippincottianus,,13 cm (5.1 in),,,,,
Red-bellied pacu,Colossoma bidens,,120 cm (47 in),,,26–28 °C,,
Red piranha,Pygocentrus nattereri,,33 cm (13 in),,,,,
Redeye piranha; Black piranha,Serrasalmus rhombeus,,41.5 cm (16.3 in),,,,,
Wimple piranha,Catoprion mento,,15 cm (5.9 in),,,,,
,Mylossoma aureum,,30 cm (12 in),,,,,
Disk tetra,Myleus schomburgkii,,40 cm (16 in),,,23-27 °C,5.0–7.0,
African pike characin,Hepsetus odoe,,44 cm (17 in),,,,,
Goliath tigerfish,Hydrocynus goliath,,133 cm (52 in),,,,,
Spotted pike-characin,Boulengerella maculata,,32 cm (13 in),,,,,
Hujeta gar,Ctenolucius hujeta,,25 cm (9.8 in),,,,,
Slender hemiodus,Hemiodus gracilis,,16 cm (6.3 in),,,,,
Kissing prochilodus; Flagtail Prochilodus,Semaprochilodus insignis,,27.5 cm (10.8 in),,,,,
Marbled headstander,Abramites hypselonotus,,14 cm (5.5 in)[42],,,,,
Banded leporinus,Leporinus fasciatus,,27 cm (11 in),,,,,
Striped headstander,Anostomus anostomus,,16 cm (6.3 in),,,,,
,Synaptolaemus latofasciatus,,11 cm (4.3 in),,,,,
Siver distichodus,Distichodus affinis,,20 cm (7.9 in),,,,,
Six-banded distichodus,Distichodus sexfasciatus,,75 cm (30 in),,,,,
,Neolebias ansorgii,,3.5 cm (1.4 in),,,,,
Payara,Hydrolycus scomberoides,,117 cm (46 in),,,,,
Pink-tail chalceus,Chalceus macrolepidotus,,25 cm (9.8 in),,,,,
Red wolf fish,Erythrinus erythrinus,,20 cm (7.9 in),,,,,
Red tail barracuda,Acestrorhynchus falcatus,,30 cm (12 in),,,,,
Spotted headstander,Chilodus punctatus,,8 cm (3.1 in),,,,,
Sunshine peacock cichlid,Aulonocara baenschi,,13 cm (5.1 in),,,,,
Red shoulder peacock,Aulonocara hansbaenschi,,8.5 cm (3.3 in),,,,,
Eureka red peacock,Aulonocara jacobfreibergi,,15 cm (5.9 in),,,,,
Aulonocara chizumulu,Aulonocara korneliae,,8 cm (3.1 in),,,,,
Pale Usisya aulonocara,Aulonocara steveni,,9 cm (3.5 in),,,,,
Flavescent peacock,Aulonocara stuartgranti,,12 cm (4.7 in),,,,,
Spilo,Champsochromis spilorhynchus,,40 cm (16 in),,,,,
,Copadichromis azureus,,14.5 cm (5.7 in),,,,,
Red fin hap,Copadichromis borleyi,,14 cm (5.5 in),,,,,
Blue dolphin cichlid; Lumphead cichlid,Cyrtocara moorii,,25 cm (9.8 in),,,,,
Afra cichlid; Dogtooth cichild,Cynotilapia afra,,10 cm (3.9 in),,,,,
Malawi eyebiter,Dimidiochromis compressiceps,,23 cm (9.1 in),,,,,
Rusty cichlid; Lavender cichild,Iodotropheus sprengerae,,10 cm (3.9 in),,,,,
Electric yellow cichlid,Labidochromis caeruleus,,20 cm (7.9 in),,,,,
Fuelleborn's cichlid; Blue mbuna,Labeotropheus fuelleborni,,18 cm (7.1 in),,,,,
Scrapermouth mbuna,Labeotropheus trewavasae,,12 cm (4.7 in),,,,,
Hongi; Red-top kimpumpa,"Labidochromis sp. ""Hongi""",,13 cm (5.1 in),,,,,
Yellow Top Mbamba,"Labidochromis sp. ""Mbamba Bay""",,13 cm (5.1 in),,,,,
Aurora,Maylandia aurora,,9 cm (3.5 in),,,,,
Cobalt blue cichlid; Cobalt zebra cichlid,Maylandia callainos,,10 cm (3.9 in),,,,,
Red zebra cichlid,Maylandia estherae,,8 cm (3.1 in),,,,,
Kenyi cichlid,Maylandia lombardoi,,13 cm (5.1 in),,,,,
Zebra mbuna,Maylandia zebra,,11 cm (4.3 in),,,,,
Auratus cichlid; Malawi golden cichlid,Melanochromis auratus,,10 cm (3.9 in),,,,,
Chipokee cichlid,Melanochromis chipokae,,12 cm (4.7 in),,,,,
Blue johanni cichlid; Maingano,Melanochromis cyaneorhabdos,,10 cm (3.9 in),,,,,
Pearl of Likoma,Melanochromis joanjohnsonae,,10 cm (3.9 in),,,,,
Fusco,Nimbochromis fuscotaeniatus,,25 cm (9.8 in),,,,,
Livingston's cichlid,Nimbochromis livingstonii,,25 cm (9.8 in),,,,,
Kaligono,Nimbochromis polystigma,,30 cm (12 in),,,,,
Venustus cichlid; Giraffe cichild,Nimbochromis venustus,,25 cm (9.8 in),,,,,
Deep-water hap,Placidochromis electra,,12 cm (4.7 in),,,,,
Fenestratus,Protomelas fenestratus,,14 cm (5.5 in),,,,,
Red empress cichlid,Protomelas taeniolatus,,15 cm (5.9 in),,,,,
Yellow-tail acei,"Pseudotropheus sp. ""acei""",,10 cm (3.9 in),,,,,
Bumblebee cichlid; Hornet cichlid,Pseudotropheus crabro,,15 cm (5.9 in),,,,,
Dwarf Mbuna,Pseudotropheus demasoni,,10 cm (3.9 in),,,,,
Johanni cichlid,Pseudotropheus johannii,,10 cm (3.9 in),,,,,
Saulosi,Pseudotropheus saulosi,,7.5 cm (3.0 in),,,,,
Pindani,Chindongo socolofi,,7 cm (2.8 in),,,,,
Malawi barracuda,Rhamphochromis macrophthalmus,,30 cm (12 in),"Academic sources disagree on whether same as Rhamphochromis longiceps - one of several unrelated fish commonly called the ""Tigerfish""",,,,
Electric blue cichlid,Sciaenochromis fryeri,,11.5 cm (4.5 in),,,,,
Big-mouth hap,Tyrannochromis macrostoma,,38 cm (15 in),,,,,
Calvus,Altolamprologus calvus,,14 cm (5.5 in),,,,,
Compressiceps,Altolamprologus compressiceps,,12 cm (4.7 in),,,,,
,Benthochromis tricoti,,16.5 cm (6.5 in),,,,,
,Boulengerochromis microlepis,,90 cm (35 in),,,,,
,Callochromis pleurospilus,,10 cm (3.9 in),,,,,
,Chalinochromis brichardi,,12 cm (4.7 in),,,,,
,Cyathopharynx furcifer,,21 cm (8.3 in),,,,,
Frontosa cichild,Cyphotilapia frontosa,,40 cm (16 in),"Ongoing academic discussion currently specifies C. frontosa as Cyphotilapia from the northern half of Lake Tanganyika, while C. gibberosa are those from the south.  Further tentative species are under review.",,,,
Frontosa cichild,Cyphotilapia gibberosa,,40 cm (16 in),"Since the relatively recent discovery of C. gibberosa (2003), the name ""Frontosa Cichlid"" has been applied by some to both members of the genus.  Whether this trend will continue, or C. gibberosa will be given its own common name remains to be seen.",,,,
Herring cichlid; Sardine cichlid,Cyprichromis leptosoma,,11 cm (4.3 in),,,,,
